NAME OF ISSUER      TITLE OF CLASS      CUISP       VALUE       SSHPRNAMT       SSHPRNAMTTYPE       VOTINGSOLE      VOTINGSHARED 
DICKS SPORTING GOODS INC        COM         253393102        437        7700       SH       7700        0
DISCOVERY COMMUNICATNS NEW        COM SER A         25470F104        9619        357335       SH       357335        0
DISH NETWORK CORP        CL A         25470M109        10518        192006       SH       192006        0
DR PEPPER SNAPPLE GROUP INC        COM         26138E109        6601        72295       SH       72295        0
DUNKIN BRANDS GROUP INC        COM         265504100        307        5900       SH       5900        0
EASTMAN CHEM CO        COM         277432100        3641        53800       SH       53800        0
EATON CORP PLC        SHS         G29183103        3351        50992       SH       50992        0
EDWARDS LIFESCIENCES CORP        COM         28176E108        5433        45065       SH       45065        0
ELDORADO GOLD CORP NEW        COM         284902103        2347        597900       SH       597900        0
ELECTRONIC ARTS INC        COM         285512109        1486        17400       SH       17400        0
EMERSON ELEC CO        COM         291011104        1079        19800       SH       19800        0
ENCANA CORP        COM         292505104        2721        260800       SH       260800        0
ENDO INTL PLC        SHS         G30401106        17879        887293       SH       887293        0
ENSCO PLC        SHS CLASS A         G3157S106        5098        599804       SH       599804        0
EOG RES INC        COM         26875P101        15064        155765       SH       155765        0
EQT CORP        COM         26884L109        3957        54486       SH       54486        0
EQUINIX INC        COM PAR $0.001         29444U700        504        1400       SH       1400        0
EXELON CORP        COM         30161N101        3296        99000       SH       99000        0
EXPRESS SCRIPTS HLDG CO        COM         30219G108        28439        403218       SH       403218        0
EXXON MOBIL CORP        COM         30231G102        16496        189000       SH       189000        0
F M C CORP        COM NEW         302491303        257        5323       SH       5323        0
F5 NETWORKS INC        COM         315616102        9212        73910       SH       73910        0
FACEBOOK INC        CL A         30303M102        3168        24700       SH       24700        0
FACTSET RESH SYS INC        COM         303075105        2334        14400       SH       14400        0
FASTENAL CO        COM         311900104        2190        52411       SH       52411        0
FEDEX CORP        COM         31428X106        3867        22136       SH       22136        0
FIDELITY NATIONAL FINANCIAL        FNF GROUP COM         31620R303        277        7500       SH       7500        0
FIRSTENERGY CORP        COM         337932107        4275        129245       SH       129245        0
FLEETCOR TECHNOLOGIES INC        COM         339041105        295        1700       SH       1700        0
FLEX LTD        ORD         Y2573F102        282        20729       SH       20729        0
FLOWSERVE CORP        COM         34354P105        1066        22100       SH       22100        0
FLUOR CORP NEW        COM         343412102        2251        43866       SH       43866        0
FOOT LOCKER INC        COM         344849104        10643        157156       SH       157156        0
FORTIVE CORP        COM         34959J108        972        19092       SH       19092        0
FORTUNE BRANDS HOME  SEC IN        COM         34964C106        1069        18400       SH       18400        0
FRANCO NEVADA CORP        COM         351858105        10456        149928       SH       149928        0
FRANKLIN RES INC        COM         354613101        935        26300       SH       26300        0
